Country, Survey, Type, Phase, Manual, Data, GPS, Bio, SPA
Afghanistan,  2010, Special, DHS-VI, --, Afghanistan_Special_2010.cfm, Not Collected, Not Collected, Not Applicable
Albania,  2008-09, Standard DHS, DHS-V, DHS-V, Albania_Standard-DHS_2008.cfm, Albania_Standard-DHS_2008.cfm, Not Collected, Not Applicable
Angola,  2011, MIS, DHS-VI, DHS-V, Angola_MIS_2011.cfm, Angola_MIS_2011.cfm, Not Collected, Not Applicable
Angola,  2006-07, MIS, DHS-V, DHS-V, Angola_MIS_2006.cfm, Angola_MIS_2006.cfm, Not Collected, Not Applicable
Armenia,  2010, Standard DHS, DHS-VI, DHS-VI, Armenia_Standard-DHS_2010.cfm, Armenia_Standard-DHS_2010.cfm, Not Yet Available, Not Applicable
Armenia,  2005, Standard DHS, DHS-V, DHS-IV, Armenia_Standard-DHS_2005.cfm, Not Distributed, Not Collected, Not Applicable
Armenia,  2000, Standard DHS, DHS-IV, DHS-IV, Armenia_Standard-DHS_2000.cfm, Not Collected, Not Collected, Not Applicable
Azerbaijan,  2006, Standard DHS, DHS-V, DHS-V, Azerbaijan_Standard-DHS_2006.cfm, Not Collected, Not Collected, Not Applicable
Bangladesh,  2011, Standard DHS, DHS-VI, DHS-VI, Bangladesh_Standard-DHS_2011.cfm, Bangladesh_Standard-DHS_2011.cfm, Not Yet Available, Not Applicable
Bangladesh,  2007, Standard DHS, DHS-V, DHS-V, Bangladesh_Standard-DHS_2007.cfm, Bangladesh_Standard-DHS_2007.cfm, Not Collected, Not Applicable
Bangladesh,  2004, Standard DHS, DHS-IV, DHS-IV, Bangladesh_Standard-DHS_2004.cfm, Bangladesh_Standard-DHS_2004.cfm, Not Collected, Not Applicable
Bangladesh,  2001, Special, DHS-IV, --, Bangladesh_Special_2001.cfm, Not Collected, Not Collected, Not Applicable
Bangladesh,  1999-00, Standard DHS, DHS-IV, DHS-III, Bangladesh_Standard-DHS_2000.cfm, Bangladesh_Standard-DHS_2000.cfm, Not Collected, Not Applicable
Bangladesh,  1999-00, MCH SPA, DHS-IV, --, Not Applicable, Not Distributed, Not Collected, Bangladesh_MCH-SPA_1999.cfm
Bangladesh,  1996-97, Standard DHS, DHS-III, DHS-III, Bangladesh_Standard-DHS_1997.cfm, Not Collected, Not Collected, Not Applicable
Bangladesh,  1993-94, Standard DHS, DHS-III, DHS-III, Bangladesh_Standard-DHS_1994.cfm, Not Collected, Not Collected, Not Applicable
Benin,  2011-12, Standard DHS, DHS-VI, DHS-VI, Benin_Standard-DHS_2012.cfm, Benin_Standard-DHS_2012.cfm, Not Distributed, Not Applicable
Benin,  2006, Standard DHS, DHS-V, DHS-V, Benin_Standard-DHS_2006.cfm, Not Collected, Not Distributed, Not Applicable
Benin,  2001, Standard DHS, DHS-IV, DHS-IV, Benin_Standard-DHS_2001.cfm, Benin_Standard-DHS_2001.cfm, Not Collected, Not Applicable
Benin,  1996, Standard DHS, DHS-III, DHS-III, Benin_Standard-DHS_1996.cfm, Benin_Standard-DHS_1996.cfm, Not Collected, Not Applicable
Bolivia,  2008, Standard DHS, DHS-V, DHS-V, Bolivia_Standard-DHS_2008.cfm, Bolivia_Standard-DHS_2008.cfm, Not Collected, Not Applicable
Bolivia,  2003, Standard DHS, DHS-IV, DHS-IV, Bolivia_Standard-DHS_2003.cfm, Not Collected, Not Collected, Not Applicable
Bolivia,  1998, Standard DHS, DHS-III, DHS-III, Bolivia_Standard-DHS_1998.cfm, Not Collected, Not Collected, Not Applicable
Bolivia,  1994, Standard DHS, DHS-III, DHS-III, Bolivia_Standard-DHS_1994.cfm, Not Collected, Not Collected, Not Applicable
Bolivia,  1989, Standard DHS, DHS-I, DHS-I, Bolivia_Standard-DHS_1989.cfm, Not Collected, Not Collected, Not Applicable
Botswana,  1988, Standard DHS, DHS-I, DHS-I, Restricted Data, Not Collected, Not Collected, Not Applicable
Brazil,  1996, Standard DHS, DHS-III, DHS-III, Brazil_Standard-DHS_1996.cfm, Not Collected, Not Collected, Not Applicable
Brazil,  1991, Standard DHS, DHS-II, DHS-II, Brazil_Standard-DHS_1991.cfm, Not Collected, Not Collected, Not Applicable
Brazil,  1986, Standard DHS, DHS-I, DHS-I, Brazil_Standard-DHS_1986.cfm, Not Collected, Not Collected, Not Applicable
Burkina Faso,  2014, MIS, DHS-VII, DHS-VI, Burkina-Faso_MIS_2014.cfm, Not Collected, Not Collected, Not Applicable
Burkina Faso,  2010, Standard DHS, DHS-VI, DHS-VI, Burkina-Faso_Standard-DHS_2010.cfm, Burkina-Faso_Standard-DHS_2010.cfm, Burkina-Faso_Standard-DHS_2010.cfm, Not Applicable
Burkina Faso,  2003, Standard DHS, DHS-IV, DHS-IV, Burkina-Faso_Standard-DHS_2003.cfm, Burkina-Faso_Standard-DHS_2003.cfm, Burkina-Faso_Standard-DHS_2003.cfm, Not Applicable
