Country, Survey, Tag, Type, Phase, Manual, Births, Children, Couples, GPS, HIV, Household, Members, Men, Women
Afghanistan, 2015, Afghanistan_VII.DHS.VII, Standard DHS, DHS-VII, DHS-VII, afbr70, afkr70, afcr70, , , afhr70, afpr70, afmr70, afir70
Albania, 2008-09, Albania_V.DHS.V, Standard DHS, DHS-V, DHS-V, albr50, alkr50, alcr50, alge51, , alhr50, alpr50, almr50, alir50
Armenia, 2000, Armenia_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, ambr42, amkr42, amcr42, , , amhr42, ampr42, ammr41, amir42
Armenia, 2005, Armenia_V.DHS.IV, Standard DHS, DHS-V, DHS-IV, ambr54, amkr54, amcr52, , , amhr54, ampr54, ammr52, amir54
Armenia, 2010, Armenia_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, ambr61, amkr61, amcr61, amge61, , amhr61, ampr61, ammr61, amir61
Azerbaijan, 2006, Azerbaijan_V.DHS.V, Standard DHS, DHS-V, DHS-V, azbr52, azkr52, azcr52, , , azhr52, azpr52, azmr52, azir52
Bangladesh, 1993-94, Bangladesh_IIIb.DHS.III, Standard DHS, DHS-III, DHS-III, bdbr31, bdkr31, bdcr31, , , bdhr31, bdpr31, bdmr31, bdir31
Bangladesh, 1996-97, Bangladesh_IIIa.DHS.III, Standard DHS, DHS-III, DHS-III, bdbr3a, bdkr3a, bdcr3a, , , bdhr3a, bdpr3a, bdmr3a, bdir3a
Bangladesh, 1999-00, Bangladesh_IV.DHS.III, Standard DHS, DHS-IV, DHS-III, bdbr41, bdkr41, bdcr41, bdge42, , bdhr41, bdpr41, bdmr41, bdir41
Bangladesh, 2004, Bangladesh_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, bdbr4j, bdkr4j, bdcr4j, bdge4j, , bdhr4j, bdpr4j, bdmr4j, bdir4j
Bangladesh, 2007, Bangladesh_V.DHS.V, Standard DHS, DHS-V, DHS-V, bdbr51, bdkr51, bdcr51, bdge52, , bdhr51, bdpr51, bdmr51, bdir51
Bangladesh, 2011, Bangladesh_VI.DHS.VI, Standard DHS, DHS-VI, DHS-VI, bdbr61, bdkr61, bdcr61, bdge61, , bdhr61, bdpr61, bdmr61, bdir61
Bangladesh, 2014, Bangladesh_VII.DHS.VI, Standard DHS, DHS-VII, DHS-VI, bdbr70, bdkr70, , bdge71, , bdhr70, bdpr70, , bdir70
Benin, 1996, Benin_III.DHS.III, Standard DHS, DHS-III, DHS-III, bjbr31, bjkr31, bjcr31, bjge33, , bjhr31, bjpr31, bjmr31, bjir31
Benin, 2001, Benin_IV.DHS.IV, Standard DHS, DHS-IV, DHS-IV, bjbr41, bjkr41, bjcr41, bjge42, , bjhr41, bjpr41, bjmr41, bjir41
